Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Genres,Record Label,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Year
spotify:track:7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,90,False,soft pop,Vertigo Berlin,0.501,0.405,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,4,2019
spotify:track:6ZRuF2n1CQxyxxAAWsKJOy,Nights Like This (feat. Ty Dolla $ign),While We Wait,"Kehlani,Ty Dolla $ign",2019-02-22,201787,77,True,trap soul,TSNMI / Atlantic,0.61,0.725,-5.131,1,0.15,0.367,0.0,0.154,0.291,146.163,4,2019
spotify:track:0PG9fbaaHFHfre2gUVo7AN,Please Me,Please Me,"Cardi B,Bruno Mars",2019-02-15,200889,82,True,,Atlantic/KSR,0.747,0.57,-6.711,1,0.081,0.0642,0.0,0.0832,0.65,133.992,4,2019
spotify:track:4l0Mvzj72xxOpRrp6h8nHi,Lose You To Love Me,Rare,Selena Gomez,2020-01-10,206458,81,False,,Interscope Records,0.516,0.342,-8.985,1,0.0425,0.55,0.0,0.21,0.0993,102.819,4,2019
spotify:track:0Ryd8975WihbObpp5cPW1t,boyfriend (with Social House),boyfriend,"Ariana Grande,Social House",2019-08-02,186106,81,True,pop,Republic Records,0.4,0.795,-3.731,0,0.461,0.119,0.0,0.159,0.702,190.097,4,2019
spotify:track:43zdsphuZLzwA9k4DJhU0I,when the party's over,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,Billie Eilish,2019-03-29,196077,88,False,,Darkroom/Interscope Records,0.367,0.111,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,4,2019
spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),"Sam Smith,Normani",2019-01-11,171029,75,False,soft pop,PLG - Capitol,0.741,0.52,-7.513,1,0.0656,0.447,1.97e-06,0.222,0.347,102.998,4,2019
spotify:track:0rIAC4PXANcKmitJfoqmVm,Motivation,Motivation,Normani,2019-08-16,193837,69,False,,Keep Cool/RCA Records,0.599,0.887,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.881,170.918,4,2019
spotify:track:2OpBganfGk2GVdSlRdxzaX,Better,Suncity,Khalid,2018-10-19,229320,81,True,,"Right Hand Music Group, LLC/RCA Records",0.695,0.586,-10.315,0,0.0658,0.102,0.317,0.113,0.112,98.035,4,2019
spotify:track:7f5trao56t7sB7f14QDTmp,Juicy,Hot Pink,"Doja Cat,Tyga",2019-11-07,203093,71,True,,Kemosabe Records/RCA Records,0.785,0.652,-2.607,1,0.0668,0.102,0.0,0.0697,0.484,170.024,4,2019
spotify:track:0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),lovely (with Khalid),"Billie Eilish,Khalid",2018-04-19,200185,90,False,,Darkroom,0.351,0.296,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,4,2019
spotify:track:5KBARWIxeMGkvUax9VtVC9,My Type,ICY,Saweetie,2019-03-29,126446,74,True,,ICY/Artistry Records/Warner Records,0.899,0.811,-6.294,1,0.258,0.000677,0.0,0.0672,0.587,105.038,4,2019
