Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2rurDawMfoKP4uHyb2kJBt,"Te Felicito","Te Felicito","Shakira,Rauw Alejandro",2022-04-21,172235,74,false,nick170708!,2022-06-19T18:50:21Z,"latin pop,reggaeton,urbano latino,trap latino,latin","Sony Music Latin",0.695,0.636,5,-4.654,1,0.317,0.234,0,0.081,0.575,174.14,4
spotify:track:0ARKW62l9uWIDYMZTUmJHF,"Shut Down","BORN PINK","BLACKPINK",2022-09-16,175889,71,false,nick170708!,2022-09-16T05:05:39Z,"k-pop","YG Entertainment/Interscope Records",0.814,0.704,0,-5.146,1,0.036,0.00291,0,0.182,0.621,110.056,3
spotify:track:6Xom58OOXk2SoU711L2IXO,"Moscow Mule","Un Verano Sin Ti","Bad Bunny",2022-05-06,245939,87,true,nick170708!,2022-05-06T16:23:47Z,"reggaeton,trap latino,urbano latino,latin","Rimas Entertainment LLC",0.804,0.674,5,-5.453,0,0.0333,0.294,0.00000118,0.115,0.292,99.968,4
spotify:track:5ww2BF9slyYgNOk37BlC4u,"La Bachata","La Bachata","Manuel Turizo",2022-05-26,162637,82,false,nick170708!,2022-10-26T21:04:33Z,"reggaeton,pop urbano,latin,colombian pop","Sony Music Latin/La Industria",0.835,0.679,7,-5.329,0,0.0364,0.583,0.00000198,0.218,0.85,124.98,4
spotify:track:1oFAF1hdPOickyHgbuRjyX,"Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","After Hours (Deluxe)","The Weeknd,Ariana Grande",2020-03-20,191013,83,false,nick170708!,2022-03-28T21:02:01Z,"pop","XO / Republic Records",0.65,0.825,0,-4.645,1,0.0325,0.0215,0.0000244,0.0936,0.593,118.091,4
spotify:track:5PjdY0CKGZdEuoNab3yDmX,"STAY (with Justin Bieber)","F*CK LOVE 3: OVER YOU","The Kid LAROI,Justin Bieber",2021-07-23,141805,13,true,nick170708!,2022-01-16T05:44:44Z,"","Columbia",0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4
spotify:track:3gXWe15nwrjfhjYQ5RqLx7,"29","29","Demi Lovato",2022-08-17,163027,54,true,nick170708!,2022-08-19T09:48:27Z,"","Demi Lovato LP4/Island",0.322,0.698,1,-3.812,0,0.0542,0.00507,0,0.249,0.288,183.963,4
spotify:track:0U1W2LZVUX7qTm7dDpqxh6,"When You're Gone","When You're Gone","Shawn Mendes",2022-03-31,172266,71,false,nick170708!,2022-04-13T20:38:32Z,"","Shawn Mendes LP4-5 PS/ Island",0.603,0.691,5,-5.805,1,0.0372,0.0248,0,0.583,0.577,147.148,4
spotify:track:6N1K5OVVCopBjGViHs2IvP,"The Joker And The Queen (feat. Taylor Swift)","The Joker And The Queen (feat. Taylor Swift)","Ed Sheeran,Taylor Swift",2022-02-11,185422,66,false,nick170708!,2022-03-28T20:51:33Z,"soft pop","Atlantic Records UK",0.528,0.309,0,-7.398,1,0.0329,0.924,0.0000021,0.282,0.307,133.83,4
spotify:track:6LtHYDgYHRCHoKK3snfr2w,"I’m Tired (with Zendaya) - Bonus Track","I’m Tired (with Zendaya) - Bonus Track","Labrinth,Zendaya",2022-02-28,187943,65,false,nick170708!,2022-03-28T20:50:22Z,"","Columbia",0.375,0.133,0,-10.624,0,0.0352,0.651,0,0.0695,0.192,131.721,4
